year;Germany;France;Italy;Russia;United States;Japan;China;India;Brazil
1965;76258000;48747000;51677000;126504000;199734000;98447000;724219008;499123008;83374000
1966;76820000;49233000;52063000;127417000;201896000;99596000;742414976;509632000;85697000
1967;77357000;49651000;52433000;128187000;203904992;100822000;762580992;520400992;88036000
1968;77847000;50025000;52795000;128860000;205806000;102124000;784075008;531513984;90387000
1969;78261000;50387000;53155000;129498000;207659008;103496000;805985984;543084032;92747000
1970;78578000;50764000;53519000;130149000;209512992;104929000;827601024;555190016;95113000
1971;78790000;51163000;53889000;130831000;211384000;106427000;848760000;567868032;97483000
1972;78902000;51573000;54259000;131540000;213270000;107976000;869486016;581086976;99859000
1973;78932000;51980000;54619000;132276000;215179008;109529000;889484992;594769984;102259000
1974;78910000;52357000;54958000;133032000;217115008;111023000;908464000;608803008;104706000
1975;78856000;52689000;55265000;133805000;219080992;112413000;926241024;623102976;107216000
1976;78782000;52969000;55538000;134596000;221086000;113679000;942684992;637630016;109791000
1977;78687000;53209000;55778000;135412992;223136000;114828000;957891008;652409024;112425000
1978;78574000;53423000;55989000;136260000;225223008;115879000;972204992;667500032;115121000
1979;78438000;53637000;56178000;137139008;227339008;116867000;986131968;682995008;117878000
1980;78283000;53868000;56349000;138052992;229476000;117817000;1000089024;698953024;120694000
1981;78108000;54121000;56505000;138994000;231636000;118733000;1014022016;715385024;123570000
1982;77926000;54391000;56645000;139955008;233822000;119605000;1027948992;732238976;126498000
1983;77770000;54675000;56765000;140936000;236030000;120428000;1042430976;749428992;129449000
1984;77682000;54965000;56863000;141938000;238256992;121189000;1058172032;766833024;132384000
1985;77692000;55255000;56937000;142956992;240500000;121883000;1075588992;784360000;135274000
1986;77806000;55545000;56984000;143995008;242763008;122509000;1095014016;801974976;138108992
1987;78016000;55838000;57008000;145032992;245052992;123073000;1116094976;819681984;140892000
1988;78308000;56126000;57018000;146012992;247372000;123585000;1137724032;837468992;143628000
1989;78660000;56404000;57029000;146864000;249726000;124059000;1158356992;855334976;146328000
1990;79054000;56667000;57048000;147532000;252120000;124505000;1176883968;873278016;149003008
1991;79491000;56914000;57088000;147996000;254539008;124930000;1192897024;891273024;151648000
1992;79963000;57147000;57145000;148268992;256991008;125331000;1206711040;909307008;154259008
1993;80429000;57370000;57198000;148374000;259532000;125707000;1218817024;927404032;156848992
1994;80833000;57587000;57214000;148348992;262240992;126053000;1230019968;945601984;159432992
1995;81139000;57802000;57174000;148227008;265164000;126365000;1240920960;963923008;162020000
1996;81324000;58012000;57065000;148020992;268335008;126644000;1251635968;982364992;164615008
1997;81399000;58221000;56904000;147730000;271713984;126893000;1261996032;1000899968;167208992
1998;81403000;58444000;56743000;147360992;275175008;127117000;1271981952;1019484032;169784992
1999;81390000;58704000;56656000;146916000;278548000;127326000;1281515008;1038057984;172319008
2000;81401000;59015000;56692000;146404992;281711008;127524000;1290551040;1056576000;174790000
2001;81454000;59384000;56875000;145831008;284608000;127714000;1299129984;1075000064;177196000
2002;81535000;59803000;57183000;145216000;287279008;127893000;1307352064;1093316992;179538000
2003;81614000;60252000;57565000;144611008;289816000;128058000;1315303936;1111522944;181808992
2004;81646000;60698000;57948000;144080992;292355008;128204000;1323085056;1129623040;184006000
2005;81603000;61120000;58281000;143672000;294993984;128326000;1330776064;1147609984;186127008
2006;81472000;61509000;58543000;143403008;297759008;128423000;1338408960;1165485952;188167008
2007;81278000;61869000;58748000;143266000;300608000;128494000;1345993984;1183208960;190130000
2008;81066000;62209000;58922000;143248992;303486016;128539000;1353569024;1200669952;192030000
2009;80900000;62543000;59106000;143327008;306308000;128555000;1361169024;1217725952;193887008
2010;80827000;62880000;59325000;143479008;309011008;128542000;1368811008;1234280960;195714000
2011;80856000;63222000;59589000;143703008;311584000;128499000;1376498048;1250288000;197515008
2012;80973000;63564000;59879000;143994000;314044000;128424000;1384205952;1265779968;199287008
2013;81174000;63894000;60167000;144324992;316400992;128314000;1391883008;1280841984;201036000
2014;81450000;64194000;60410000;144664992;318672992;128169000;1399453952;1295601024;202764000
2015;81787000;64453000;60578000;144984992;320878016;127985000;1406848000;1310151936;204472000
2016;82194000;64668000;60663000;145275008;323016000;127763000;1414049024;1324516992;206163008
2017;82658000;64843000;60674000;145530000;325084992;127503000;1421021952;1338676992;207834000
2018;83124000;64991000;60627000;145734000;327096000;127202000;1427648000;1352642048;209468992
2019;83517000;65130000;60550000;145872000;329064992;126860000;1433784064;1366418048;211050000
